Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Column 12;Column 13;Column 14;Column 15
3;Métro;GARE DE LYON;36352115;1;14;A;;;Paris;12;;;;
6;Métro;REPUBLIQUE;18340798;3;5;8;9;11;Paris;11;;;;
13;Métro;PLACE D'ITALIE;11462253;5;6;7;;;Paris;13;;;;
16;Métro;FRANKLIN D. ROOSEVELT;10899310;1;9;;;;Paris;8;;;;
24;Métro;NATION;8792715;1;2;6;9;;Paris;12;;;;
27;Métro;TROCADERO;8351649;6;9;;;;Paris;16;;;;
33;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;7381123;7;;;;;Aubervilliers;;;;;
42;Métro;MADELEINE;6992609;8;12;14;;;Paris;8;;;;
44;Métro;GRANDS BOULEVARDS;6889717;8;9;;;;Paris;9;;;;
40;Métro;STALINGRAD;7063687;2;5;7;;;Paris;19;;;;
49;Métro;INVALIDES;6290697;8;13;;;;Paris;7;;;;
53;Métro;JAURES;6133119;2;5;7bis;;;Paris;19;;;;
58;Métro;ODEON;5896554;4;10;;;;Paris;6;;;;
57;Métro;LA COURNEUVE-8 MAI 1945;6013067;7;;;;;La Courneuve;;;;;
78;Métro;SEVRES-BABYLONE;5178469;10;12;;;;Paris;7;;;;
75;Métro;GABRIEL PERI;5245603;13;;;;;Asnières;;;;;
84;Métro;VOLTAIRE;5036297;9;;;;;Paris;11;;;;
80;Métro;PORTE DE PANTIN;5126473;5;;;;;Paris;19;;;;
79;Métro;RICHELIEU-DROUOT;5157761;8;9;;;;Paris;9;;;;
72;Métro;REAUMUR-SEBASTOPOL;5317006;3;4;;;;Paris;3;;;;
86;Métro;BALARD;4994071;8;;;;;Paris;15;;;;
109;Métro;PORTE DE BAGNOLET;4305206;3;;;;;Paris;20;;;;
108;Métro;LE KREMLIN-BICETRE;4307422;7;;;;;Kremlin-Bicêtre;;;;;
130;Métro;BLANCHE;3829404;2;;;;;Paris;9;;;;
124;Métro;LA MUETTE;3977748;9;;;;;Paris;16;;;;
121;Métro;CHARONNE;4020524;9;;;;;Paris;12;;;;
122;Métro;CHATEAU D'EAU;4010100;4;;;;;Paris;10;;;;
115;Métro;SAINT-DENIS-PORTE DE PARIS;4179663;13;;;;;Saint Denis;;;;;
139;Métro;PORTE DE LA VILLETTE;3661072;7;;;;;Paris;19;;;;
131;Métro;PORTE DES LILAS;3803232;3bis;11;;;;Paris;20;;;;
142;Métro;TERNES;3616052;2;;;;;Paris;17;;;;
134;Métro;EGLISE DE PANTIN;3769284;5;;;;;Pantin;;;;;
151;Métro;DUROC;3509866;10;13;;;;Paris;7;;;;
145;Métro;SENTIER;3575805;3;;;;;Paris;3;;;;
159;Métro;GARIBALDI;3346731;13;;;;;Saint Ouen;;;;;
166;Métro;PERNETY;3151413;13;;;;;Paris;14;;;;
168;Métro;FAIDHERBE-CHALIGNY;3134776;8;;;;;Paris;12;;;;
175;Métro;PLACE DES FETES;3078947;7bis;11;;;;Paris;19;;;;
178;Métro;CHARENTON-ECOLES;2979524;8;;;;;Charenton;;;;;
179;Métro;ARGENTINE;2975436;1;;;;;Paris;17;;;;
172;Métro;BERAULT;3094974;1;;;;;Vincennes;;;;;
186;Métro;ROME;2870252;2;;;;;Paris;17;;;;
193;Métro;NOTRE-DAME-DE-LORETTE;2794182;12;;;;;Paris;9;;;;
198;Métro;CRETEIL-POINTE DU LAC;2729376;8;;;;;Créteil;;;;;
214;Métro;WAGRAM;2475539;3;;;;;Paris;17;;;;
217;Métro;LOURMEL;2423494;8;;;;;Paris;15;;;;
227;Métro;PORTE D'ITALIE;2316136;7;;;;;Paris;13;;;;
221;Métro;CRETEIL-L'ECHAT;2388835;8;;;;;Créteil;;;;;
231;Métro;VAVIN;2279221;4;;;;;Paris;14;;;;
239;Métro;MAISONS-ALFORT-LES JUILLIOTTES;2196535;8;;;;;Maisons -Alfort;;;;;
243;Métro;BREGUET-SABIN;2139259;5;;;;;Paris;11;;;;
252;Métro;JASMIN;2037263;9;;;;;Paris;16;;;;
258;Métro;RICHARD LENOIR;1906906;5;;;;;Paris;11;;;;
262;Métro;PHILIPPE AUGUSTE;1812544;2;;;;;Paris;11;;;;
260;Métro;MAISONS-ALFORT-STADE;1831297;8;;;;;Maisons -Alfort;;;;;
272;Métro;MONCEAU;1608558;2;;;;;Paris;17;;;;
273;Métro;SEGUR;1597696;10;;;;;Paris;15;;;;
281;Métro;VARENNE;1429509;13;;;;;Paris;7;;;;
275;Métro;PIERRE CURIE;1523465;7;;;;;Ivry;;;;;
282;Métro;MIRABEAU;1366605;10;;;;;Paris;16;;;;
292;Métro;BOTZARIS;958552;7bis;;;;;Paris;19;;;;
297;Métro;CHARDON-LAGACHE;642202;10;;;;;Paris;16;;;;
299;Métro;BOLIVAR;564032;7bis;;;;;Paris;19;;;;
302;Métro;PELLEPORT;352513;3bis;;;;;Paris;20;;;;
2;RER;GARE DE LYON-RER;37192652;A;;;;;Paris;12;;;;
7;RER;MASSY-PALAISEAU;8989578;B;;;;;Massy;;;;;
8;RER;CHARLES DE GAULLE-ETOILE-RER;8404924;A;;;;;Paris;17;;;;
22;RER;BOURG-LA-REINE;4462976;B;;;;;Bourg la Reine;;;;;
30;RER;LAPLACE;3552088;B;;;;;Arcueil;;;;;
33;RER;ARCUEIL-CACHAN;3343757;B;;;;;Arcueil;;;;;
45;RER;BRY-SUR-MARNE;2151853;A;;;;;Bry-sur-Marne;;;;;
65;RER;PARC DE SCEAUX;585494;B;;;;;Antony;;;;;
7;Métro;BIBLIOTHEQUE;17491541;14;;;;;Paris;13;;;;
15;Métro;OPERA;10981914;3;7;8;;;Paris;9;;;;
23;Métro;PLACE CLICHY;9024733;2;13;;;;Paris;17;;;;
26;Métro;CHARLES DE GAULLE-ETOILE;8381433;1;2;6;;;Paris;8;;;;
25;Métro;PORTE DE CLIGNANCOURT;8432306;4;;;;;Paris;18;;;;
202;Métro;CHATEAU ROUGE;2664077;4;;;;;Paris;18;;;;
46;Métro;PONT DE NEUILLY;6815851;1;;;;;Neuilly Sur Seine;;;;;
45;Métro;VILLEJUIF-LOUIS ARAGON;6865612;7;;;;;Villejuif;;;;;
60;Métro;GEORGE V;5891713;1;;;;;Paris;8;;;;
55;Métro;PORTE DE VERSAILLES;6080322;12;;;;;Paris;15;;;;
51;Métro;MAIRIE DE MONTROUGE;6164559;4;;;;;Montrouge;;;;;
88;Métro;GLACIERE;4966081;6;;;;;Paris;13;;;;
83;Métro;PYRAMIDES;5070872;7;14;;;;Paris;1;;;;
110;Métro;CHAMPS-ELYSEES-CLEMENCEAU;4300906;1;13;;;;Paris;8;;;;
99;Métro;PORTE DE MONTREUIL;4647724;9;;;;;Paris;20;;;;
98;Métro;MAIRIE DES LILAS;4656048;11;;;;;Les Lilas;;;;;
119;Métro;LES COURTILLES;4103831;13;;;;;Asnières sur Seine;;;;;
114;Métro;OBERKAMPF;4192585;5;9;;;;Paris;11;;;;
128;Métro;LEDRU-ROLLIN;3895615;8;;;;;Paris;12;;;;
140;Métro;VAUGIRARD;3648085;12;;;;;Paris;15;;;;
148;Métro;LES GOBELINS;3520605;7;;;;;Paris;13;;;;
157;Métro;TOLBIAC;3363265;7;;;;;Paris;13;;;;
160;Métro;PYRENEES;3335906;11;;;;;Paris;20;;;;
189;Métro;FUNICULAIRE;2850830;2;;;;;Paris;18;;;;
162;Métro;SAINT-PLACIDE;3281669;4;;;;;Paris;6;;;;
187;Métro;SAINT-MAUR;2863984;3;;;;;Paris;11;;;;
165;Métro;BOUCICAUT;3172612;8;;;;;Paris;15;;;;
146;Métro;CHEVALERET;3550425;6;;;;;Paris;13;;;;
171;Métro;MAIRIE D'IVRY;3102623;7;;;;;Ivry;;;;;
176;Métro;SIMPLON;3021317;4;;;;;Paris;18;;;;
185;Métro;SAINT-AUGUSTIN;2872445;9;;;;;Paris;8;;;;
197;Métro;JAVEL-ANDRE CITROEN;2745396;10;;;;;Paris;15;;;;
191;Métro;SAINT-AMBROISE;2820580;9;;;;;Paris;11;;;;
194;Métro;SAINT-PHILIPPE-DU-ROULE;2782782;9;;;;;Paris;8;;;;
203;Métro;COURCELLES;2663534;2;;;;;Paris;17;;;;
209;Métro;JACQUES BONSERGENT;2569940;5;;;;;Paris;10;;;;
212;Métro;VILLEJUIF-LEO LAGRANGE;2529256;7;;;;;Villejuif;;;;;
200;Métro;FRONT POPULAIRE;2672036;12;;;;;Saint Denis / Aubervilliers;;;;;
219;Métro;VOLONTAIRES;2405459;12;;;;;Paris;15;;;;
199;Métro;DUGOMMIER;2694704;6;;;;;Paris;12;;;;
216;Métro;IENA;2430271;9;;;;;Paris;16;;;;
230;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;2297351;7;;;;;Villejuif;;;;;
238;Métro;BEL AIR;2223888;6;;;;;Paris;12;;;;
246;Métro;MICHEL-ANGE-AUTEUIL;2096180;9;10;;;;Paris;16;;;;
213;Métro;CORVISART;2495811;6;;;;;Paris;13;;;;
250;Métro;BOISSIERE;2070907;6;;;;;Paris;16;;;;
257;Métro;AVRON;1925980;2;;;;;Paris;11;;;;
259;Métro;MALAKOFF-RUE ETIENNE DOLET;1871202;13;;;;;Malakoff;;;;;
263;Métro;RASPAIL;1773665;4;6;;;;Paris;14;;;;
266;Métro;SAINT-FRANCOIS-XAVIER;1725103;13;;;;;Paris;7;;;;
268;Métro;LIEGE;1690807;13;;;;;Paris;8;;;;
270;Métro;CHATEAU-LANDON;1679432;7;;;;;Paris;10;;;;
279;Métro;PONT NEUF;1466310;7;;;;;Paris;4;;;;
277;Métro;EUROPE;1501598;3;;;;;Paris;8;;;;
285;Métro;CAMPO-FORMIO;1281234;5;;;;;Paris;13;;;;
294;Métro;SAINT-FARGEAU;742869;3bis;;;;;Paris;8;;;;
296;Métro;PORTE D'AUTEUIL;671787;10;;;;;Paris;16;;;;
298;Métro;DANUBE;618124;7bis;;;;;Paris;19;;;;
303;Métro;EGLISE D'AUTEUIL;172812;10;;;;;Paris;16;;;;
13;RER;ANTONY;6407808;B;;;;;Antony;;;;;
15;RER;AUBER;5755055;A;;;;;Paris;9;;;;
14;RER;RUEIL-MALMAISON;6183873;A;;;;;Rueil-Malmaison;;;;;
19;RER;DENFERT-ROCHEREAU-RER;5000661;B;;;;;Paris;14;;;;
27;RER;JOINVILLE-LE-PONT;3823443;A;;;;;Joinville-le-Pont;;;;;
39;RER;BOISSY-SAINT-LEGER;2482050;A;;;;;Boissy-Saint-Léger;;;;;
48;RER;ROBINSON;2007606;B;;;;;Sceaux;;;;;
53;RER;FONTENAY-AUX-ROSES;1115170;B;;;;;Fontenay aux roses;;;;;
55;RER;SAINT-REMY-LES-CHEVREUSE;974338;B;;;;;St-Rémy-Lès-Chevreuse;;;;;
2;Métro;SAINT-LAZARE;45879586;3;9;12;13;14;Paris;8;;;;
4;Métro;MONTPARNASSE-BIENVENUE;30359225;4;6;12;13;;Paris;14;;;;
8;Métro;LES HALLES;16128080;4;;;;;Paris;1;;;;
9;Métro;LA DEFENSE;15031139;1;;;;;Puteaux;;;;;
14;Métro;BELLEVILLE;11402348;2;11;;;;Paris;10;;;;
18;Métro;ESPLANADE DE LA DEFENSE;10317385;1;;;;;Puteaux;;;;;
19;Métro;STRASBOURG-SAINT-DENIS;10145616;4;8;9;;;Paris;2;;;;
21;Métro;GARE D'AUSTERLITZ;9438016;5;10;;;;Paris;13;;;;
17;Métro;BARBES-ROCHECHOUART;10856026;2;4;;;;Paris;18;;;;
34;Métro;HAVRE-CAUMARTIN;7356084;3;9;;;;Paris;9;;;;
31;Métro;BOBIGNY-PABLO PICASSO;7737626;5;;;;;Bobigny;;;;;
38;Métro;GAMBETTA;7095196;3;3bis;;;;Paris;20;;;;
39;Métro;MAIRIE DE CLICHY;7089241;13;;;;;Clichy;;;;;
50;Métro;CRIMEE;6175537;7;;;;;Paris;19;;;;
61;Métro;ANVERS;5890665;2;;;;;Paris;18;;;;
52;Métro;SAINT-PAUL;6158849;1;;;;;Paris;4;;;;
65;Métro;CONCORDE;5847907;1;8;12;;;Paris;8;;;;
54;Métro;SAINT-MANDE-TOURELLE;6099638;1;;;;;Saint Mandé;;;;;
68;Métro;PIGALLE;5589061;2;12;;;;Paris;18;;;;
66;Métro;REUILLY-DIDEROT;5765809;1;8;;;;Paris;12;;;;
85;Métro;PONT DE LEVALLOIS-BECON;5025588;3;;;;;Levallois-Perret;;;;;
81;Métro;HOCHE;5085421;5;;;;;Pantin;;;;;
90;Métro;CHARLES MICHELS;4923871;10;;;;;Paris;15;;;;
89;Métro;PASTEUR;4944020;6;12;;;;Paris;9;;;;
87;Métro;PONT DE SEVRES;4980193;9;;;;;Boulogne Billancourt;;;;;
106;Métro;ECOLE MILITAIRE;4315153;8;;;;;Paris;7;;;;
102;Métro;ROBESPIERRE;4551649;9;;;;;Montreuil;;;;;
105;Métro;JULES JOFFRIN;4344027;12;;;;;Paris;18;;;;
118;Métro;RAMBUTEAU;4139059;11;;;;;Paris;3;;;;
111;Métro;JUSSIEU;4282997;7;10;;;;Paris;5;;;;
116;Métro;PORTE DE CLICHY;4145014;13;;;;;Paris;17;;;;
117;Métro;MAIRIE DE SAINT-OUEN;4143606;13;;;;;Saint Ouen;;;;;
123;Métro;OURCQ;3985487;5;;;;;Paris;19;;;;
126;Métro;DUPLEIX;3905952;6;;;;;Paris;15;;;;
125;Métro;FORT D'AUBERVILLIERS;3928197;7;;;;;Aubervilliers;;;;;
135;Métro;BOULOGNE-JEAN JAURES;3767032;10;;;;;Boulogne Billancourt;;;;;
158;Métro;JOURDAIN;3356879;11;;;;;Paris;20;;;;
161;Métro;CADET;3289639;7;;;;;Paris;9;;;;
154;Métro;BOURSE;3410557;3;;;;;Paris;2;;;;
211;Métro;QUAI DE LA GARE;2544008;6;;;;;Paris;13;;;;
190;Métro;CORENTIN CARIOU;2833439;7;;;;;Paris;19;;;;
174;Métro;RUE DE LA POMPE;3082105;9;;;;;Paris;16;;;;
177;Métro;GAITE;3009210;13;;;;;Paris;14;;;;
